127.0.0.1 - - [03/Aug/2021:10:24:55 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Aug/2021:10:24:56 +0900] "GET /test1/index.jsp HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [03/Aug/2021:10:24:57 +0900] "GET /test1/css/style.css HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [03/Aug/2021:10:51:17 +0900] "GET /test1/reduct.jsp HTTP/1.1" 200 1805
0:0:0:0:0:0:0:1 - - [03/Aug/2021:10:51:17 +0900] "GET /test1/style.css HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [03/Aug/2021:10:51:17 +0900] "GET /test1/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2021:10:56:32 +0900] "GET /test1/reduct2.jsp HTTP/1.1" 200 2025
0:0:0:0:0:0:0:1 - - [03/Aug/2021:10:56:32 +0900] "GET /test1/style.css HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [03/Aug/2021:10:56:32 +0900] "GET /test1/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2021:11:29:18 +0900] "GET /test1/reduct.jsp HTTP/1.1" 200 2003
0:0:0:0:0:0:0:1 - - [03/Aug/2021:11:29:18 +0900] "GET /test1/style.css HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [03/Aug/2021:11:29:18 +0900] "GET /test1/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2021:11:30:09 +0900] "GET /test1/reduct2.jsp HTTP/1.1" 200 2223
0:0:0:0:0:0:0:1 - - [03/Aug/2021:11:30:09 +0900] "GET /test1/style.css HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [03/Aug/2021:11:33:05 +0900] "GET /test1/reduct3.jsp HTTP/1.1" 200 2075
0:0:0:0:0:0:0:1 - - [03/Aug/2021:11:33:05 +0900] "GET /test1/style.css HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [03/Aug/2021:11:43:09 +0900] "GET /test1/member.jsp HTTP/1.1" 200 1473
0:0:0:0:0:0:0:1 - - [03/Aug/2021:11:43:09 +0900] "GET /test1/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2021:11:50:14 +0900] "GET /test1/member.jsp HTTP/1.1" 200 2669
0:0:0:0:0:0:0:1 - - [03/Aug/2021:11:52:56 +0900] "GET /test1/member.jsp HTTP/1.1" 200 2753
0:0:0:0:0:0:0:1 - - [03/Aug/2021:11:52:56 +0900] "GET /test1/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2021:11:54:50 +0900] "GET /test1/member.jsp HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [03/Aug/2021:11:55:48 +0900] "GET /test1/member.jsp HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [03/Aug/2021:11:59:08 +0900] "GET /test1/booklist.jsp HTTP/1.1" 500 3702
0:0:0:0:0:0:0:1 - - [03/Aug/2021:11:59:36 +0900] "GET /test1/booklist.jsp HTTP/1.1" 200 2595
0:0:0:0:0:0:0:1 - - [03/Aug/2021:12:01:13 +0900] "GET /test1/booklist.jsp HTTP/1.1" 200 2595
